R 	 U 	 I 
0.1520794794 	 86.2841824904 	 797.8437101917 
0.1824953752 	 103.8094673890 	 801.2395428035 
0.2189944503 	 125.2473359107 	 805.6027310332 
0.2627933403 	 151.2722724779 	 810.8488549688 
0.3153520084 	 182.9341068139 	 817.1537488929 
0.3784224101 	 221.5500513221 	 824.7269123607 
0.4541068921 	 268.8087999722 	 833.8150374709 
0.5449282705 	 327.0486396591 	 845.3695346525 
0.6539139247 	 398.9008825582 	 859.2838281150 
0.7846967096 	 487.9179404585 	 875.9112438480 
0.9416360515 	 599.2554642616 	 896.4046306885 
1.1299632618 	 739.0698365887 	 921.3669388255 
1.3559559142 	 916.2018672382 	 951.7765071189 
1.6271470970 	 1141.5426285483 	 988.2011964506 
1.9525765164 	 1429.6120005267 	 1031.3336004098 
2.3430918197 	 1795.7329053730 	 1079.6285716755 
2.8117101836 	 2254.2334898416 	 1129.3969040063 
3.3740522203 	 2799.9612263548 	 1168.9247736821 
4.0488626644 	 3381.3506271111 	 1176.3997956650 
4.8586351973 	 3886.0539226476 	 1126.6021975385 
5.8303622368 	 4189.3264890924 	 1012.0707022588 
6.9964346841 	 4260.8241984999 	 857.8497094012 
8.3957216209 	 4166.4306466903 	 699.0237615705 
10.0748659451 	 3998.6835021806 	 559.0870811075 
12.0898391341 	 3817.6591263927 	 444.7935199619 
14.5078069610 	 3650.5345029484 	 354.4513196679 
17.4093683532 	 3506.3074495483 	 283.7058789413 
20.8912420238 	 3385.6011200555 	 228.2744300206 
25.0694904285 	 3284.3522693439 	 184.5463602003 
30.0833885143 	 3203.8612728827 	 150.0160229308 
36.1000662171 	 3135.8483397794 	 122.3667323122 
43.3200794605 	 3080.8298554419 	 100.1720074111 
51.9840953526 	 3036.1665789558 	 82.2697352185 
62.3809144232 	 2998.9140186185 	 67.7189651385 
74.8570973078 	 2967.9006156289 	 55.8503237238 
89.8285167693 	 2942.0978484990 	 46.1382843307 
107.7942201232 	 2920.6629187413 	 38.1688103901 
129.3530641479 	 2903.8223404838 	 31.6195796940 
155.2236769774 	 2889.8017396945 	 26.2227352201 
186.2684123729 	 2878.1297263494 	 21.7642297609 
223.5220948475 	 2868.4127285842 	 18.0757713650 
268.2265138170 	 2860.3227764039 	 15.0207597924 
321.8718165804 	 2853.5868534398 	 12.4878914123 
386.2461798965 	 2847.9778073991 	 10.3861686491 
463.4954158758 	 2843.3066837932 	 8.6409777705 
556.1944990509 	 2839.4163053304 	 7.1909850468 
667.4333988611 	 2836.1759164225 	 5.9856645978 
800.9200786334 	 2833.4767263271 	 4.9833176263 
961.1040943600 	 2831.2282045881 	 4.1494768081 
1153.3249132320 	 2829.3550034433 	 3.4556147668 
1383.9898958784 	 2827.7944014474 	 2.8780942492 
1660.7878750541 	 2826.4941798472 	 2.3973116046 
1992.9454500649 	 2825.4108580681 	 1.9969957301 
2391.5345400779 	 2824.5082313936 	 1.6636326733 
2869.8414480935 	 2823.7562495337 	 1.3859922495 
3443.8097377122 	 2823.1297843200 	 1.1547377961 
4132.5716852547 	 2822.6078593619 	 0.9621039115 
4959.0860223056 	 2822.1730069806 	 0.8016299456 
5950.9032267667 	 2821.8106595887 	 0.6679393252 
7141.0838721201 	 2821.5087191024 	 0.5565566424 
